dx,G0,field,offset,R56
0.0,14.0,0.15,0.018139928433012556,0.02283443816676692
0.0,14.0,0.1625,0.019847868949687594,0.02569030894015309
0.0,14.0,0.175,0.021579331129988125,0.03147492164917526
0.0,14.0,0.1875,0.023389618655774796,0.03522583904079246
0.0,14.0,0.2,0.02527210747649553,0.04099792184401478
0.0,14.25,0.15,0.017801476927841065,0.022103628592971325
0.0,14.25,0.1625,0.019430186009463172,0.024985905347125498
0.0,14.25,0.175,0.021189005284997897,0.030541841773814846
0.0,14.25,0.1875,0.022898834498371327,0.03453373938080395
0.0,14.25,0.2,0.024741885198183936,0.038812782914562985
0.0,14.5,0.15,0.017447576124644665,0.02071277928075435
0.0,14.5,0.1625,0.019087719962649314,0.023692938097964397
0.0,14.5,0.175,0.020765231289798687,0.02828437046066734
0.0,14.5,0.1875,0.022448292224214086,0.03334344514468672
0.0,14.5,0.2,0.024199648843731048,0.03797311891568871
0.0,14.75,0.15,0.01713662514501104,0.020389110793865906
0.0,14.75,0.1625,0.018762197047588608,0.022746463559342484
0.0,14.75,0.175,0.020374759583232323,0.027570859663967467
0.0,14.75,0.1875,0.02198957740534583,0.03112148418367046
0.0,14.75,0.2,0.02372719432955773,0.036186594677898254
0.0,15.0,0.15,0.016808438897368223,0.01937562461171044
0.0,15.0,0.1625,0.018405654085506994,0.022675324686403375
0.0,15.0,0.175,0.019957046205633922,0.02663875301745164
0.0,15.0,0.1875,0.021586323137654552,0.031054210208923377
0.0,15.0,0.2,0.02325229957413336,0.03452131821710906
0.0025,14.0,0.15,0.018191936165363465,0.022235645465819256
0.0025,14.0,0.1625,0.019825527473870033,0.02580674957346743
0.0025,14.0,0.175,0.021611057404378783,0.030491185670028412
0.0025,14.0,0.1875,0.023409884837537583,0.036089678688975155
0.0025,14.0,0.2,0.02527250460788955,0.041147502337425874
0.0025,14.25,0.15,0.017800104337127955,0.02200892589987251
0.0025,14.25,0.1625,0.019457658811454944,0.025024893856372812
0.0025,14.25,0.175,0.021146849545263927,0.029335356840552898
0.0025,14.25,0.1875,0.022905165132346538,0.03454471700374827
0.0025,14.25,0.2,0.024730091247597463,0.039370213469897955
